Wavelength (nm),Spectral irradiance (W m-2 nm-1),,,,,,,
300,0.0013938,,,,,,,
305,0.01597,,,,,,,
310,0.06054,,,,,,,
315,0.130135,,,,,,,
320,0.21175,,,,,,,
325,0.31015,,,,,,,
330,0.4171,,,,,,,
335,0.41935,,,,,,,
340,0.46995,,,,,,,
345,0.47075,,,,,,,
350,0.50655,,,,,,,
355,0.55015,,,,,,,
360,0.5101,,,,,,,
365,0.6527,,,,,,,
370,0.6951,,,,,,,
375,0.62785,,,,,,,
380,0.7223,,,,,,,
385,0.5813,,,,,,,
390,0.74545,,,,,,,
395,0.60695,,,,,,,
400,1.0709,,,,,,,
405,1.14425,,,,,,,
410,1.1655,,,,,,,
415,1.21575,,,,,,,
420,1.2065,,,,,,,
425,1.21125,,,,,,,
430,1.0483,,,,,,,
435,1.268,,,,,,,
440,1.30275,,,,,,,
445,1.41975,,,,,,,
450,1.539,,,,,,,
455,1.528,,,,,,,
460,1.555,,,,,,,
465,1.5475,,,,,,,
470,1.54875,,,,,,,
475,1.57275,,,,,,,
480,1.60825,,,,,,,
485,1.4875,,,,,,,
490,1.52975,,,,,,,
495,1.58225,,,,,,,
500,1.52675,,,,,,,
505,1.54525,,,,,,,
510,1.56075,,,,,,,
515,1.47275,,,,,,,
520,1.48125,,,,,,,
525,1.507,,,,,,,
530,1.56875,,,,,,,
535,1.5285,,,,,,,
540,1.50725,,,,,,,
545,1.53775,,,,,,,
550,1.53775,,,,,,,
555,1.53225,,,,,,,
560,1.4965,,,,,,,
565,1.504,,,,,,,
570,1.48275,,,,,,,
575,1.4905,,,,,,,
580,1.4915,,,,,,,
585,1.523,,,,,,,
590,1.40925,,,,,,,
595,1.45125,,,,,,,
600,1.455,,,,,,,
605,1.481,,,,,,,
610,1.46975,,,,,,,
615,1.43775,,,,,,,
620,1.4585,,,,,,,
625,1.41025,,,,,,,
630,1.39025,,,,,,,
635,1.434,,,,,,,
640,1.44425,,,,,,,
645,1.42925,,,,,,,
650,1.3855,,,,,,,
655,1.32425,,,,,,,
660,1.3845,,,,,,,
665,1.404,,,,,,,
670,1.4145,,,,,,,
675,1.4015,,,,,,,
680,1.39175,,,,,,,
685,1.289125,,,,,,,
690,1.179875,,,,,,,
695,1.27375,,,,,,,
700,1.28275,,,,,,,
705,1.3015,,,,,,,
710,1.306,,,,,,,
715,1.2425,,,,,,,
720,1.05005,,,,,,,
725,1.0795,,,,,,,
730,1.088,,,,,,,
735,1.2055,,,,,,,
740,1.21025,,,,,,,
745,1.24325,,,,,,,
750,1.23175,,,,,,,
755,1.2265,,,,,,,
760,0.69705,,,,,,,
765,0.687575,,,,,,,
770,1.142525,,,,,,,
775,1.172,,,,,,,
780,1.164,,,,,,,
785,1.15375,,,,,,,
790,1.106,,,,,,,
795,1.08475,,,,,,,
800,1.085,,,,,,,
805,1.0725,,,,,,,
810,1.04975,,,,,,,
815,0.896125,,,,,,,
820,0.898975,,,,,,,
825,0.900175,,,,,,,
830,0.904925,,,,,,,
835,0.9711,,,,,,,
840,1.0021,,,,,,,
845,1.00025,,,,,,,
850,0.960275,,,,,,,
855,0.936125,,,,,,,
860,0.98795,,,,,,,
865,0.939725,,,,,,,
870,0.955275,,,,,,,
875,0.943975,,,,,,,
880,0.9314,,,,,,,
885,0.922775,,,,,,,
890,0.919225,,,,,,,
895,0.793175,,,,,,,
900,0.652625,,,,,,,
905,0.7506,,,,,,,
910,0.663775,,,,,,,
915,0.644275,,,,,,,
920,0.71375,,,,,,,
925,0.72535,,,,,,,
930,0.459025,,,,,,,
935,0.195225,,,,,,,
940,0.364525,,,,,,,
945,0.299525,,,,,,,
950,0.3369,,,,,,,
955,0.343475,,,,,,,
960,0.427425,,,,,,,
965,0.49515,,,,,,,
970,0.66725,,,,,,,
975,0.596225,,,,,,,
980,0.650625,,,,,,,
985,0.715275,,,,,,,
990,0.74175,,,,,,,
995,0.744725,,,,,,,
1000,0.734975,,,,,,,
1005,0.71365,,,,,,,
1010,0.719575,,,,,,,
1015,0.7105,,,,,,,
1020,0.69665,,,,,,,
1025,0.6925,,,,,,,
1030,0.686875,,,,,,,
1035,0.677225,,,,,,,
1040,0.6707,,,,,,,
1045,0.658725,,,,,,,
1050,0.6544,,,,,,,
1055,0.645275,,,,,,,
1060,0.627325,,,,,,,
1065,0.622625,,,,,,,
1070,0.606725,,,,,,,
1075,0.606075,,,,,,,
1080,0.593825,,,,,,,
1085,0.57705,,,,,,,
1090,0.575575,,,,,,,
1095,0.5289,,,,,,,
1100,0.493,,,,,,,
1105,0.461375,,,,,,,
1110,0.4075,,,,,,,
1115,0.22632,,,,,,,
1120,0.145405,,,,,,,
1125,0.1150625,,,,,,,
1130,0.1601125,,,,,,,
1135,0.1249,,,,,,,
1140,0.238875,,,,,,,
1145,0.1603,,,,,,,
1150,0.206275,,,,,,,
1155,0.257175,,,,,,,
1160,0.328825,,,,,,,
1165,0.405075,,,,,,,
1170,0.4394,,,,,,,
1175,0.434775,,,,,,,
1180,0.416875,,,,,,,
1185,0.432525,,,,,,,
1190,0.427925,,,,,,,
1195,0.454,,,,,,,834.815
1200,0.4242,,,,,,,
